Datetime,Generated power_1481 (kW),Ambient temperature_1482 (degree C),Irradiance_1483 (W/m2),PV module temperature_1484 (C)
2023-02-06 00:00:00,0.0000000000,26.7066700000,,26.7066700000
2023-02-06 00:15:00,0.0000000000,26.6000000000,,26.6000000000
2023-02-06 00:30:00,0.0000000000,26.5233300000,,26.5233300000
2023-02-06 00:45:00,0.0000000000,26.4000000000,,26.4000000000
2023-02-06 01:00:00,0.0000000000,26.2500000000,,26.2500000000
2023-02-06 01:15:00,0.0000000000,26.2100000000,,26.2100000000
2023-02-06 01:30:00,0.0000000000,26.1000000000,,26.1000000000
2023-02-06 01:45:00,0.0000000000,26.0033300000,,26.0033300000
2023-02-06 02:00:00,0.0000000000,26.0000000000,,26.0000000000
2023-02-06 02:15:00,0.0000000000,25.9666700000,,25.9666700000
2023-02-06 02:30:00,0.0000000000,25.9300000000,,25.9300000000
2023-02-06 02:45:00,0.0000000000,25.9100000000,,25.9100000000
2023-02-06 03:00:00,0.0000000000,25.9566700000,,25.9566700000
2023-02-06 03:15:00,0.0000000000,25.9700000000,,25.9700000000
2023-02-06 03:30:00,0.0000000000,26.1133300000,,26.1133300000
2023-02-06 03:45:00,0.0000000000,26.1233300000,,26.1233300000
2023-02-06 04:00:00,0.0000000000,26.1433300000,,26.1433300000
2023-02-06 04:15:00,0.0000000000,26.2100000000,,26.2100000000
2023-02-06 04:30:00,0.0000000000,26.2966700000,,26.2966700000
2023-02-06 04:45:00,0.0000000000,26.1333300000,,26.1333300000
2023-02-06 05:00:00,0.0000000000,25.9266700000,,25.9266700000
2023-02-06 05:15:00,0.0000000000,25.7366700000,,25.7366700000
2023-02-06 05:30:00,0.0000000000,25.6100000000,,25.6100000000
2023-02-06 05:45:00,0.0000000000,25.5100000000,,25.5100000000
2023-02-06 06:00:00,0.0000000000,25.5366700000,,25.5366700000
2023-02-06 06:15:00,0.0000000000,25.6166700000,,25.6166700000
2023-02-06 06:30:00,0.0400000000,25.7000000000,0.0000000000,25.7000000000
2023-02-06 06:45:00,1.2000000000,25.8000000000,5.0000000000,25.8000000000
2023-02-06 07:00:00,3.4400000000,26.0300000000,15.0000000000,26.0300000000
2023-02-06 07:15:00,6.3760000000,26.5333300000,28.0000000000,26.5333300000
